"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0030198","extracellular matrix organization","51/652","278/18842",0.183453237410072,5.30157346515426,13.6795995951582,6.7186016819872e-23,1.41677495163036e-19,4.69901417160046e-20,"MMP9/RGCC/SLC39A8/MATN2/COL1A1/GAS6/COL5A2/IL6/MFAP4/TNXB/ADAMTSL3/COL5A1/TIMP3/FAP/COLEC12/MYH11/MARCO/NDNF/PLAU/RECK/TGFBR3/GPM6B/BMP2/FBLN5/FBLN1/PLOD2/ECM2/ADAMTS8/SPOCK2/TPSAB1/RAMP2/MMP1/COL11A1/MMP11/POSTN/LTBP4/MMP7/ADAMTS1/COL1A2/FGFR4/COL10A1/ENG/TIE1/COL4A3/GREM1/COL3A1/SULF1/COL4A5/COL13A1/MMP12/DPT",51
"BP","GO:0043062","extracellular structure organization","51/652","279/18842",0.182795698924731,5.2825714097236,13.6440108394521,7.96130113346159e-23,1.41677495163036e-19,4.69901417160046e-20,"MMP9/RGCC/SLC39A8/MATN2/COL1A1/GAS6/COL5A2/IL6/MFAP4/TNXB/ADAMTSL3/COL5A1/TIMP3/FAP/COLEC12/MYH11/MARCO/NDNF/PLAU/RECK/TGFBR3/GPM6B/BMP2/FBLN5/FBLN1/PLOD2/ECM2/ADAMTS8/SPOCK2/TPSAB1/RAMP2/MMP1/COL11A1/MMP11/POSTN/LTBP4/MMP7/ADAMTS1/COL1A2/FGFR4/COL10A1/ENG/TIE1/COL4A3/GREM1/COL3A1/SULF1/COL4A5/COL13A1/MMP12/DPT",51
"BP","GO:0045229","external encapsulating structure organization","51/652","280/18842",0.182142857142857,5.2637050832603,13.6085925718007,9.42631371676887e-23,1.41677495163036e-19,4.69901417160046e-20,"MMP9/RGCC/SLC39A8/MATN2/COL1A1/GAS6/COL5A2/IL6/MFAP4/TNXB/ADAMTSL3/COL5A1/TIMP3/FAP/COLEC12/MYH11/MARCO/NDNF/PLAU/RECK/TGFBR3/GPM6B/BMP2/FBLN5/FBLN1/PLOD2/ECM2/ADAMTS8/SPOCK2/TPSAB1/RAMP2/MMP1/COL11A1/MMP11/POSTN/LTBP4/MMP7/ADAMTS1/COL1A2/FGFR4/COL10A1/ENG/TIE1/COL4A3/GREM1/COL3A1/SULF1/COL4A5/COL13A1/MMP12/DPT",51
"BP","GO:0072001","renal system development","40/652","231/18842",0.173160173160173,5.00411653785887,11.5927712774171,2.77056003567974e-17,3.12311380021999e-14,1.03584242436434e-14,"FOXF1/MME/MMP9/EDN1/ANGPT1/CD24/TFAP2A/TCF21/PTCH1/PECAM1/CD34/HYAL2/GPC3/ZBTB16/RBP4/HPGD/BMP2/ITGA8/EDNRA/WFS1/PODXL/EPCAM/SLIT2/EGR1/TEK/CENPF/EZH2/AGTR1/LGR4/ID3/CAT/COL4A3/FGFR2/KANK2/AGTR2/AQP1/GREM1/SOX4/SMAD6/SULF1",40
"BP","GO:0009611","response to wounding","59/652","496/18842",0.118951612903226,3.43755566000396,10.415595567178,9.15439568803696e-17,8.25543403147173e-14,2.73807787623277e-14,"MCAM/HBB/FOLR1/PROS1/IL6/EDN1/SERPING1/DSG2/ANGPT1/CCN2/MDK/CX3CR1/COL5A1/MYLK/SVEP1/FAP/TFPI2/GATA2/CD34/NDNF/PLAU/CEACAM1/TNC/CDK1/AGER/F2RL1/FBLN1/PLA2G4A/TYROBP/DST/EDNRA/AURKA/FLRT3/DSP/THBD/SPP1/ZFP36/LYVE1/CPB2/AHNAK/IL33/DUOX1/F8/PTN/ANXA8/ENG/CD36/CAV1/MACF1/HBEGF/SLC6A4/VWF/MYL9/CLDN4/FERMT2/COL3A1/CLDN3/MMP12/ALOX5",59
"BP","GO:0001822","kidney development","38/652","225/18842",0.168888888888889,4.88068166325835,11.0867397067182,4.1466658226162e-16,3.11621936569608e-13,1.03355574887677e-13,"MME/MMP9/EDN1/ANGPT1/CD24/TFAP2A/TCF21/PTCH1/PECAM1/CD34/HYAL2/GPC3/ZBTB16/HPGD/BMP2/ITGA8/EDNRA/WFS1/PODXL/EPCAM/SLIT2/EGR1/TEK/CENPF/EZH2/AGTR1/LGR4/ID3/CAT/COL4A3/FGFR2/KANK2/AGTR2/AQP1/GREM1/SOX4/SMAD6/SULF1",38
"BP","GO:1901342","regulation of vasculature development","45/652","362/18842",0.124309392265193,3.59238890960241,9.42894016561754,9.75792789406975e-14,6.28549955348007e-11,2.08471016821711e-11,"EMP2/CLDN5/CHI3L1/RGCC/IL6/DSG2/PGK1/HYAL1/MDK/ADGRG6/GATA2/AKT3/CD34/QKI/CEACAM1/RECK/DCN/RRAS/JCAD/SEMA6A/CXCL12/FBLN5/SASH1/KLF2/RAMP2/CDH5/GATA6/KLF4/HOXA5/NPR1/TEK/THBS2/CLIC3/ADAMTS1/C5AR1/TIE1/CD36/CXCL13/COL4A3/ANXA3/AQP1/GREM1/SULF1/SEMA5A/ALOX5",45
"BP","GO:0045765","regulation of angiogenesis","44/652","352/18842",0.125,3.61234662576687,9.36683998448274,1.52228932814706e-13,8.58000322576885e-11,2.84572766506564e-11,"EMP2/CLDN5/CHI3L1/RGCC/IL6/DSG2/PGK1/HYAL1/MDK/ADGRG6/GATA2/AKT3/CD34/QKI/CEACAM1/RECK/DCN/RRAS/JCAD/SEMA6A/FBLN5/SASH1/KLF2/RAMP2/CDH5/GATA6/KLF4/HOXA5/NPR1/TEK/THBS2/CLIC3/ADAMTS1/C5AR1/TIE1/CD36/CXCL13/COL4A3/ANXA3/AQP1/GREM1/SULF1/SEMA5A/ALOX5",44
"BP","GO:0003018","vascular process in circulatory system","35/652","255/18842",0.137254901960784,3.96649825574402,9.02960933836206,3.36402598511846e-12,1.68537701854435e-09,5.58988601931174e-10,"CLDN5/HBB/LEPR/SLC15A2/EDN1/ANGPT1/FABP5/SVEP1/SLC2A1/PECAM1/CEACAM1/ADRB2/ZEB2/AGER/F2RL1/KLF2/RAMP2/CDH5/SLC7A5/EDNRA/KAT2B/SLC1A1/ABCC3/SLIT2/GCLC/NPR1/TEK/AGTR1/DOCK4/CD36/CAV1/AGTR2/SLC6A4/EDNRB/FERMT2",35
"BP","GO:0048729","tissue morphogenesis","45/652","408/18842",0.110294117647059,3.1873646697943,8.45669964711741,6.6693853761915e-12,3.00722586612475e-09,9.97405900341642e-10,"FOXF1/FOLR1/RASIP1/MDK/TGFBR2/COL5A1/LCN2/MYLK/TFAP2A/TCF21/KRT19/PTCH1/KRT15/MMRN2/GPC3/CEACAM1/STARD13/TNC/TGFBR3/BMP2/TBX3/S1PR1/ITGA8/EDNRA/PODXL/KLF4/FLRT3/DSP/SLIT2/HEY1/LGR4/PERP/ENG/TIE1/FGFR2/HBEGF/AGTR2/DLC1/GREM1/TNNC1/FERMT2/TBX2/COL3A1/SULF1/MMP12",45
