"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","33/397","233/9422",0.141630901287554,3.36132582350461,7.65455417892034,6.94052002562255e-10,2.17238276801986e-07,2.17238276801986e-07,"2273/1277/1290/6711/1829/4628/1289/23345/4629/2023/825/1634/2192/8516/1301/25802/64236/1832/1674/1311/7058/10529/1278/1462/161176/1730/1285/2274/10398/7134/1281/1756/1287",33
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","17/397","89/9422",0.191011235955056,4.53326918178473,7.02394732163182,1.37724585213022e-07,2.15538975858379e-05,2.15538975858379e-05,"5627/710/2/722/1604/5328/1191/1675/11326/7056/730/1361/2157/728/7450/629/713",17
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","20/397","154/9422",0.12987012987013,3.082207465079,5.46401014485393,6.75600741552318e-06,0.000704876773686252,0.000704876773686252,"2277/1277/7148/10000/3384/3371/3910/8516/999/6696/1311/7058/9459/1278/1285/55679/7450/5295/10979/1287",20
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","15/397","101/9422",0.148514851485149,3.52470259620421,5.35007425240718,1.93648510411282e-05,0.00151529959396828,0.00151529959396828,"2277/1277/3569/1906/7048/10000/177/7056/1958/185/1278/1285/5295/1281/1287",15
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","15/397","103/9422",0.145631067961165,3.45626176909344,5.25688837280886,2.46041208349222e-05,0.00154021796426613,0.00154021796426613,"4311/1277/1290/1289/3783/1359/1301/6505/1361/1278/1300/1285/1281/1287/1305",15
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","17/397","130/9422",0.130769230769231,3.10354582445263,5.06511374861783,3.02680168972282e-05,0.00157898154813874,0.00157898154813874,"4318/2277/1277/1906/115/2791/7048/10000/2353/4312/408/1278/1285/1910/5295/1281/1287",17
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","22/397","203/9422",0.108374384236453,2.57204898810041,4.74889248032964,4.33080986929333e-05,0.0019364906986983,0.0019364906986983,"8395/2013/2012/2277/1277/7148/4638/10000/3371/3910/8516/6696/1311/7058/858/1278/1285/857/7450/5295/10398/1287",22
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","13/397","89/9422",0.146067415730337,3.46661760960009,4.90350190179651,8.26040332557457e-05,0.00323188280113105,0.00323188280113105,"1277/7148/3371/3910/8516/6696/1311/7058/1278/948/1285/7450/1287",13
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","9/397","50/9422",0.18,4.2719395465995,4.86512813664765,0.000206088339518692,0.00716729447437229,0.00716729447437229,"3043/3569/3039/5175/1311/7058/948/2532/3040",9
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","11/397","75/9422",0.146666666666667,3.48083963056255,4.52390369763825,0.000278612974411313,0.00872058609907409,0.00872058609907409,"9133/1029/27244/6241/5366/983/64065/891/4616/3486/2810",11
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","13/397","110/9422",0.118181818181818,2.80480879322189,3.99324730428049,0.000699764006062425,0.0199114667179581,0.0199114667179581,"2597/3569/1906/5230/284/6513/10000/2023/2034/7010/5214/7076/5295",13
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","16/397","160/9422",0.1,2.37329974811083,3.67445635643082,0.0011414014658122,0.0297715548999349,0.0297715548999349,"7122/3133/5175/947/23114/3384/1001/1003/8516/999/23705/1462/51208/58494/1364/1365",16
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","14/397","135/9422",0.103703703703704,2.4611997387816,3.58640141630086,0.00161733724713468,0.0389405044887043,0.0389405044887043,"1906/115/4628/4638/4629/10268/5321/10266/1909/4881/185/5319/10398/10203",14
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","11/397","93/9422",0.118279569892473,2.80712873432464,3.67310352722457,0.00176095192625225,0.0393698537797825,0.0393698537797825,"57493/9411/54922/7048/10810/1003/999/4008/5787/10580/10398",11
